siren,date_cloture_exercice,default_event,DV,GW,CJ,CK,CO,EE,GF,CG,DL,GP,GU,DX,GG,1A,CF,HN,FW,BM,DY,FS,BY,GA,EA,FV,FZ,HE,DU,BL,FP,FY,FU,FT,FX,FJ,FL,BU,BX,BJ,BK,BT,FC,CHIFFRE_AFFAIRE,RESULTAT_FINANCIER,TOTAL_ACTIF,EXPORT,ACTIF_IMMO,CP,ratio_marge_commerciale,ratio_marge_exploitation,ratio_marge_nette,ratio_duree_credit_client_jours,ratio_duree_credit_fournisseur_jours,ratio_taux_exportation,ratio_actif_immo_sur_ca
434893798,2017-12-31,0,1699022,120354,172808,0,3089167,1921265,2239137,0,-286048,1767,4969,340323,123556,1167902,55797,222431,1139579,0,161721,30838,0,109183,3,2167,138303,97,424,9427,31699,405645,209679,671,74024,2329171,2329171,0,45688,2916358,1167902,5345,116125,2329171,-3202,1921265,0,1748456,-286048,0.7286630785791174,0.05304720005529864,0.09549792608614825,5.966400348736382,75.00558837935912,0,0.7506773869329474
434893798,2018-12-31,0,1755957,81837,201420,797,3186976,1711211,2365223,0,-469641,2180,4617,276297,84274,1475764,7994,-183592,1210819,0,127556,27452,797,73693,2403,1728,176931,0,13390,7698,47141,463520,190558,1844,84472,2399922,2399922,0,82158,2985555,1474967,3501,103467,2399922,-2437,1711212,0,1510588,-469641,0.7168565822919385,0.035115307914173874,-0.07649915288913556,10.31171186674678,58.81763143105298,0,0.629432123210671
434893798,2019-12-31,0,1879776,-58523,238787,4330,3280979,1157544,2108161,0,-1109704,1124,4112,237758,-55535,2123434,7590,-640063,1112381,0,122564,25924,4330,67885,2494,-5488,132702,1444,10,13187,36093,376363,197765,171,81316,2010344,2010344,0,48521,3042191,2119104,3329,82241,2010344,-2988,1157545,0,923087,-1109704,0.6827008426453959,-0.027624625437238603,-0.31838481374331956,6.686133898808695,54.127447164694466,0,0.45916867958916485
434893798,2020-12-31,0,2167983,-427146,112439,4076,3162934,397776,1496705,0,-2122313,0,10214,173239,-416931,2765157,5586,-1012608,843944,0,169210,12509,4076,61083,613,6232,79000,598,10,6954,49782,283126,78031,555,65030,999135,999135,0,13458,3050494,2761081,2773,32104,999135,-10214,397777,0,289413,-2122313,0.5930725143284326,-0.4172919575432749,-0.6310501543413201,2.8561622470103307,56.38783453399594,0,0.2896635589785164
434893798,2021-12-31,0,2526085,-533688,215221,2968,3305965,520684,1845772,0,-2586348,1296.5,11665,346329,-522022,2785281,5725,-512629,1009128,0,236964,12674,2968,53069,523,-3386,118743,2942,908,10340,11872,381245,114577,-351,62096,1214534,1214534,0,36400,3090743,2782312,3125,32584,1214534,-10368.5,520684,0,308431,-2586348,0.6218082494475816,-0.42981258655583127,-0.4220787561319815,8.37267626925224,92.6994757030885,0,0.253950074678848
434920930,2017-10-31,0,729276,245638,721779,0,4804960,2431141,2253535,0,903602,1,33349,511795,278985,2373819,106951,225110,1394119,0,261079,21297,0,106637,3877,2160,117484,517,7974,10642,4545,451369,144022,8425,59054,2002598,2002598,0,176187,4083181,2373819,1743,29314,2002598,-33348,2431141,0,1709362,903602,-0.01391826431056833,0.1393115343169223,0.1124089807340265,26.760344562413422,99.82505182422557,0,0.8535722096996002
434930053,2017-12-31,0,21617,343869,1344245,0,9008489,5280652,1948539,0,3387835,1325,37378,123920,379921,3727837,703056,379224,742051,0,105827,8854,0,367213,243450,769,173508,91641,1350594,15935,17458,569893,17230,-2117,67065,2310696,2310696,0,11149,7664243,3727837,10413,16390,2310696,-36053,5280652,0,3936406,3387835,0.5889566809029896,0.1644184263096487,0.16411678559187362,1.4675899238440138,49.0699334535379,0,1.7035585814836742
434930053,2018-12-31,0,21245,325175,1379328,0,10649490,6556564,2152545,0,3870337,974,36194,143531,360395,4092926,429427,504986,742643,0,87969,7156,0,436449,368167,2182,207321,78415,2013623,13754,34016,643517,23780,3342,75224,2467064,2467064,0,16203,9270163,4092926,7071,19167,2467064,-35220,6556564,0,5177237,3870337,0.4522877862993687,0.1460825499460087,0.19402175382143544,1.9976832785853955,56.435536426574835,0,2.0985418294782785
434930053,2019-12-31,0,91434,355406,1967794,8500,12521279,7988745,2318070,0,4307538,702,49723,220565,404427,4532534,798291,557665,754798,0,176945,8669,8500,544394,500125,-2784,198865,3872,2587823,16538,18687,703329,11060,-2860,89590,2703692,2703692,0,36625,10553485,4524034,9931,20049,2703692,-49021,7988745,0,6029451,4307538,0.7102598633348297,0.14958323655209246,0.19402175382143544,3.1640761965490154,86.61869868104448,0,2.2300805713076786
434930053,2020-12-31,0,1489,-113460,1961239,0,13437218,8368024,2088955,0,4384340,757,47969,209337,-66248,5069195,1219445,82327,707137,0,97005,5090,0,592206,482141,-1895,107256,906,3043609,18433,182838,586657,3352,-43,55335,1790414,1790414,0,31801,11475979,5069195,9974,15267,1790414,-47212,8368023,0,6406784,4384340,0.6694176983035305,-0.03700149797756273,0.045982102463452586,5.4025516817153285,88.98156248296834,0,3.5783813129253903
