siren,date_jugement,nature_jugement
301292272,2020-01-15,Jugement d'ouverture d'une procédure de redressement judiciaire
301310736,2017-12-04,Jugement d'ouverture de liquidation judiciaire
301311486,2017-03-08,Jugement d'ouverture de liquidation judiciaire
301331757,2021-09-21,Jugement d'ouverture d'une procédure de redressement judiciaire
301365136,2020-09-22,Jugement d'ouverture d'une procédure de redressement judiciaire
301421301,2019-09-02,Jugement d'ouverture d'une procédure de redressement judiciaire
301422846,2019-01-10,Jugement d'ouverture de liquidation judiciaire
301484358,2019-09-12,Jugement d'ouverture d'une procédure de redressement judiciaire
301504841,2019-03-08,Jugement d'ouverture d'une procédure de redressement judiciaire
301546073,2018-01-09,Jugement d'ouverture d'une procédure de redressement judiciaire
301568838,2018-12-19,Jugement d'ouverture de liquidation judiciaire
301571584,2017-07-21,Jugement d'ouverture de liquidation judiciaire
301578373,2020-11-02,Jugement d'ouverture de liquidation judiciaire
301590170,2017-12-13,Jugement d'ouverture d'une procédure de sauvegarde
301592457,2019-10-03,Jugement d'ouverture de liquidation judiciaire
301609756,2020-01-28,Jugement d'ouverture de liquidation judiciaire
301619532,2021-04-01,Jugement d'ouverture d'une procédure de redressement judiciaire
301620985,2021-03-31,Jugement d'ouverture d'une procédure de redressement judiciaire
301638284,2018-03-28,Jugement d'ouverture de liquidation judiciaire
301638847,2017-07-24,Jugement d'ouverture de liquidation judiciaire
301640934,2018-01-09,Jugement d'ouverture de liquidation judiciaire
301644043,2019-11-19,Jugement d'ouverture de liquidation judiciaire
301670477,2018-02-05,Jugement d'ouverture de liquidation judiciaire
301710265,2020-04-17,Jugement d'ouverture de liquidation judiciaire
301754834,2020-05-26,Jugement d'ouverture de liquidation judiciaire
301761193,2018-05-15,Jugement d'ouverture de liquidation judiciaire
301763017,2017-09-12,Jugement d'ouverture d'une procédure de redressement judiciaire
301767653,2020-01-08,Jugement d'ouverture de liquidation judiciaire
301768123,2021-07-19,Jugement d'ouverture de liquidation judiciaire
301850525,2018-02-20,Jugement d'ouverture d'une procédure de sauvegarde
301850624,2017-04-04,Jugement d'ouverture de liquidation judiciaire
301852372,2019-11-12,Jugement d'ouverture de liquidation judiciaire
301860094,2020-07-02,Jugement d'ouverture de liquidation judiciaire
301863163,2018-04-04,Jugement d'ouverture d'une procédure de redressement judiciaire
301863684,2021-07-01,Jugement d'ouverture d'une procédure de sauvegarde
301899597,2017-09-19,Jugement d'ouverture de liquidation judiciaire
301919247,2018-05-23,Jugement d'ouverture de liquidation judiciaire
302004981,2017-01-24,Jugement d'ouverture d'une procédure de redressement judiciaire
302046073,2017-11-07,Jugement d'ouverture de liquidation judiciaire
302047105,2020-06-16,Jugement d'ouverture d'une procédure de redressement judiciaire
302066527,2017-01-05,Jugement d'ouverture d'une procédure de redressement judiciaire
302070560,2019-10-15,Jugement d'ouverture d'une procédure de redressement judiciaire
302077987,2020-10-27,Jugement d'ouverture d'une procédure de redressement judiciaire
302095047,2017-03-22,Jugement d'ouverture de liquidation judiciaire
302112982,2020-09-08,Jugement d'ouverture de liquidation judiciaire
